Number,Player,Minutes,Off reb,Def reb,Tot reb,Assists,Fouls comm,Fouls against,Turnovers,Steals,Blocked shots,Blocked shot attempt,Efficiency,+/-,Pts,Home team,Guest team,Team,Game number,Starter,2m,2a,3m,3a,Fgm,Fga,Ftm,Fta
10,Örvar Freyr Harðarson,0.7333333333333333,,,,,,,1.0,,,,-1.0,,,Tindastóll,Grindavík,Tindastóll,63.0,,,,,,,,,
11,Sinisa Bilic,28.516666666666666,1.0,5.0,6.0,4.0,3.0,4.0,5.0,,,,15.0,5.0,16.0,Tindastóll,Grindavík,Tindastóll,63.0,1.0,5.0,6.0,0.0,5.0,5.0,11.0,6.0,6.0
12,Viðar Ágústsson,15.966666666666667,1.0,2.0,3.0,1.0,5.0,1.0,,1.0,,,7.0,20.0,3.0,Tindastóll,Grindavík,Tindastóll,63.0,,,,1.0,2.0,1.0,2.0,,
13,Hlynur Freyr Einarsson,2.466666666666667,,,,,1.0,,,,,,0.0,-3.0,,Tindastóll,Grindavík,Tindastóll,63.0,,,,,,,,,
14,Helgi Rafn Viggósson,21.15,4.0,2.0,6.0,7.0,4.0,2.0,3.0,,,,13.0,-4.0,7.0,Tindastóll,Grindavík,Tindastóll,63.0,1.0,2.0,4.0,1.0,3.0,3.0,7.0,,
21,Gerel Simmons,30.75,2.0,5.0,7.0,2.0,2.0,4.0,3.0,1.0,,,31.0,11.0,31.0,Tindastóll,Grindavík,Tindastóll,63.0,1.0,7.0,8.0,4.0,7.0,11.0,15.0,5.0,8.0
35,Hannes Ingi Másson,16.95,,2.0,2.0,,1.0,2.0,,,,,4.0,11.0,4.0,Tindastóll,Grindavík,Tindastóll,63.0,,,,1.0,2.0,1.0,2.0,1.0,2.0
0,Ingvi Þór Guðmundsson,32.63333333333333,,2.0,2.0,3.0,3.0,2.0,3.0,1.0,,,18.0,-12.0,21.0,Tindastóll,Grindavík,Grindavík,63.0,1.0,1.0,3.0,5.0,9.0,6.0,12.0,4.0,4.0
1,Jamal K Olasawere,14.333333333333334,,,,2.0,5.0,4.0,2.0,,,,1.0,-9.0,6.0,Tindastóll,Grindavík,Grindavík,63.0,1.0,2.0,6.0,0.0,1.0,2.0,7.0,2.0,2.0
2,Bragi Guðmundsson,0.0,,,,,,,,,,,,,,Tindastóll,Grindavík,Grindavík,63.0,,,,,,,,,
6,Sigtryggur Arnar Björnsson,36.93333333333333,,2.0,2.0,4.0,2.0,7.0,,1.0,,2.0,26.0,-12.0,31.0,Tindastóll,Grindavík,Grindavík,63.0,1.0,2.0,6.0,7.0,14.0,9.0,20.0,6.0,7.0
7,Björgvin Hafþór Ríkharðsson,27.1,,2.0,2.0,3.0,,2.0,2.0,1.0,,,4.0,-25.0,3.0,Tindastóll,Grindavík,Grindavík,63.0,,,,1.0,4.0,1.0,4.0,,
8,Kristófer Breki Gylfason,25.35,,3.0,3.0,,2.0,2.0,,1.0,,,5.0,-2.0,5.0,Tindastóll,Grindavík,Grindavík,63.0,1.0,0.0,1.0,1.0,4.0,1.0,5.0,2.0,2.0
10,Jens Valgeir Óskarsson,5.383333333333334,,,,1.0,1.0,,,,,,1.0,4.0,,Tindastóll,Grindavík,Grindavík,63.0,,,,,,,,,
12,Sverrir Týr Sigurðsson,0.0,,,,,,,,,,,,,,Tindastóll,Grindavík,Grindavík,63.0,,,,,,,,,
14,Ólafur Ólafsson,30.466666666666665,2.0,5.0,7.0,5.0,5.0,1.0,2.0,,,,11.0,-24.0,8.0,Tindastóll,Grindavík,Grindavík,63.0,,1.0,3.0,2.0,7.0,3.0,10.0,,
42,Valdas Vasylius,27.8,2.0,2.0,4.0,2.0,2.0,6.0,2.0,2.0,,,15.0,-10.0,14.0,Tindastóll,Grindavík,Grindavík,63.0,1.0,5.0,9.0,0.0,1.0,5.0,10.0,4.0,4.0
1,Kyle Johnson,28.9,2.0,3.0,5.0,2.0,1.0,1.0,1.0,,,2.0,8.0,26.0,14.0,Stjarnan,Fjölnir,Stjarnan,64.0,1.0,5.0,12.0,1.0,5.0,6.0,17.0,1.0,2.0
4,Hlynur Elías Bæringsson,37.05,5.0,16.0,21.0,3.0,1.0,7.0,,2.0,,1.0,40.0,,18.0,Stjarnan,Fjölnir,Stjarnan,64.0,1.0,4.0,7.0,1.0,1.0,5.0,8.0,7.0,8.0
5,Nikolas Tomsick,35.516666666666666,1.0,2.0,3.0,5.0,3.0,2.0,8.0,2.0,,,17.0,21.0,31.0,Stjarnan,Fjölnir,Stjarnan,64.0,1.0,7.0,12.0,5.0,15.0,12.0,27.0,2.0,3.0
7,Ágúst Angantýsson,9.916666666666666,,,,,2.0,,,1.0,,,-1.0,-12.0,,Stjarnan,Fjölnir,Stjarnan,64.0,,0.0,1.0,0.0,1.0,0.0,2.0,,
8,Ægir Þór Steinarsson,33.666666666666664,1.0,6.0,7.0,9.0,1.0,5.0,,2.0,,1.0,25.0,15.0,18.0,Stjarnan,Fjölnir,Stjarnan,64.0,1.0,6.0,12.0,0.0,4.0,6.0,16.0,6.0,7.0
10,Dúi Þór Jónsson,6.333333333333333,1.0,,1.0,1.0,,1.0,1.0,,,,-1.0,-8.0,1.0,Stjarnan,Fjölnir,Stjarnan,64.0,,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0
11,Tómas Þórður Hilmarsson,26.966666666666665,4.0,7.0,11.0,1.0,4.0,2.0,,,2.0,,20.0,15.0,8.0,Stjarnan,Fjölnir,Stjarnan,64.0,1.0,4.0,5.0,0.0,1.0,4.0,6.0,,
13,Ingimundur Orri Jóhannsson,0.0,,,,,,,,,,,,,,Stjarnan,Fjölnir,Stjarnan,64.0,,,,,,,,,
14,Arnþór Freyr Guðmundsson,21.65,3.0,3.0,6.0,1.0,4.0,2.0,2.0,,,,7.0,-22.0,5.0,Stjarnan,Fjölnir,Stjarnan,64.0,,,,1.0,4.0,1.0,4.0,2.0,2.0
21,Friðrik Anton Jónsson,0.0,,,,,,,,,,,,,,Stjarnan,Fjölnir,Stjarnan,64.0,,,,,,,,,
29,Orri Gunnarsson,0.0,,,,,,,,,,,,,,Stjarnan,Fjölnir,Stjarnan,64.0,,,,,,,,,
2,Hlynur Logi Ingólfsson,0.0,,,,,,,,,,,,,,Stjarnan,Fjölnir,Fjölnir,64.0,,,,,,,,,
3,Jere Vucica,25.866666666666667,4.0,3.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0,-2.0,19.0,Stjarnan,Fjölnir,Fjölnir,64.0,1.0,6.0,11.0,2.0,3.0,8.0,14.0,1.0,3.0
4,Rafn Kristján Kristjánsson,0.0,,,,,,,,,,,,,,Stjarnan,Fjölnir,Fjölnir,64.0,,,,,,,,,
6,Ólafur Ingi Styrmisson,0.0,,,,,,,,,,,,,,Stjarnan,Fjölnir,Fjölnir,64.0,,,,,,,,,
7,Viktor Lee Moses,38.6,7.0,6.0,13.0,,1.0,,1.0,3.0,2.0,1.0,29.0,-7.0,24.0,Stjarnan,Fjölnir,Fjölnir,64.0,1.0,9.0,16.0,2.0,7.0,11.0,23.0,,
8,Srdan Stojanovic,38.5,,5.0,5.0,8.0,3.0,7.0,3.0,1.0,,,23.0,-5.0,25.0,Stjarnan,Fjölnir,Fjölnir,64.0,1.0,5.0,12.0,3.0,9.0,8.0,21.0,6.0,6.0
11,Róbert Sigurðsson,36.083333333333336,,8.0,8.0,11.0,2.0,4.0,5.0,,1.0,,15.0,-18.0,5.0,Stjarnan,Fjölnir,Fjölnir,64.0,1.0,2.0,4.0,0.0,3.0,2.0,7.0,1.0,1.0
13,Orri Hilmarsson,25.166666666666668,,,,1.0,3.0,1.0,,,,,6.0,5.0,8.0,Stjarnan,Fjölnir,Fjölnir,64.0,,1.0,1.0,2.0,5.0,3.0,6.0,,
14,Egill Agnar Októsson,4.9,,,,,1.0,,,,,,-1.0,-3.0,,Stjarnan,Fjölnir,Fjölnir,64.0,,,,0.0,1.0,0.0,1.0,,
15,Viktor Máni Steffensen,0.0,,,,,,,,,,,,,,Stjarnan,Fjölnir,Fjölnir,64.0,,,,,,,,,
16,Vilhjálmur Theodór Jónsson,15.533333333333333,,2.0,2.0,,4.0,1.0,,,,,0.0,-5.0,2.0,Stjarnan,Fjölnir,Fjölnir,64.0,,1.0,4.0,0.0,1.0,1.0,5.0,,
20,Tómas Heiðar Tómasson,15.35,,1.0,1.0,,5.0,,,2.0,,,4.0,,5.0,Stjarnan,Fjölnir,Fjölnir,64.0,1.0,1.0,1.0,1.0,5.0,2.0,6.0,,
4,Khalil Ullah Ahmad,26.55,,3.0,3.0,1.0,1.0,2.0,1.0,2.0,,1.0,6.0,15.0,8.0,Keflavík,ÍR,Keflavík,65.0,1.0,3.0,7.0,0.0,3.0,3.0,10.0,2.0,2.0
5,Magnús Már Traustason,18.016666666666666,1.0,1.0,2.0,2.0,2.0,,,,,,11.0,8.0,8.0,Keflavík,ÍR,Keflavík,65.0,,4.0,4.0,0.0,1.0,4.0,5.0,,
6,Elvar Snær Guðjónsson,1.2666666666666666,,,,,,,,,,1.0,-1.0,-4.0,,Keflavík,ÍR,Keflavík,65.0,,0.0,1.0,,,0.0,1.0,,
7,Ágúst Orrason,11.45,,1.0,1.0,,1.0,1.0,1.0,,,,21.0,7.0,23.0,Keflavík,ÍR,Keflavík,65.0,,1.0,1.0,6.0,8.0,7.0,9.0,3.0,3.0
8,Guðmundur Jónsson,16.733333333333334,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,7.0,11.0,6.0,Keflavík,ÍR,Keflavík,65.0,,0.0,1.0,2.0,3.0,2.0,4.0,,
9,Dominykas Milka,34.516666666666666,5.0,9.0,14.0,14.0,2.0,2.0,1.0,1.0,,,37.0,37.0,16.0,Keflavík,ÍR,Keflavík,65.0,1.0,8.0,14.0,0.0,1.0,8.0,15.0,,
10,Davíð Alexander H. Magnússon,1.6833333333333333,,,,,1.0,,,,,,0.0,-4.0,,Keflavík,ÍR,Keflavík,65.0,,,,,,,,,
11,Deane Williams,27.616666666666667,1.0,6.0,7.0,,2.0,2.0,3.0,,1.0,,8.0,6.0,9.0,Keflavík,ÍR,Keflavík,65.0,1.0,3.0,6.0,1.0,4.0,4.0,10.0,,
12,Reggie Dupree,19.916666666666668,,1.0,1.0,,1.0,1.0,,,,1.0,10.0,18.0,13.0,Keflavík,ÍR,Keflavík,65.0,1.0,2.0,3.0,3.0,6.0,5.0,9.0,,
13,Hörður Axel Vilhjálmsson,34.18333333333333,1.0,9.0,10.0,8.0,1.0,4.0,5.0,,,,17.0,29.0,8.0,Keflavík,ÍR,Keflavík,65.0,1.0,,,2.0,6.0,2.0,6.0,2.0,2.0
14,Sigurður Hólm Brynjarsson,1.2666666666666666,,,,,,,,,,,-1.0,-4.0,,Keflavík,ÍR,Keflavík,65.0,,,,0.0,1.0,0.0,1.0,,
15,Veigar Áki Hlynsson,6.8,,,,1.0,,1.0,,,,,3.0,-4.0,2.0,Keflavík,ÍR,Keflavík,65.0,,1.0,1.0,,,1.0,1.0,,
0,Evan Christopher Singletary,31.266666666666666,2.0,2.0,4.0,2.0,4.0,2.0,5.0,1.0,,,10.0,-23.0,15.0,Keflavík,ÍR,ÍR,65.0,1.0,2.0,4.0,3.0,8.0,5.0,12.0,2.0,2.0
3,Collin Pryor,38.31666666666667,1.0,1.0,2.0,3.0,2.0,2.0,1.0,,,1.0,11.0,-27.0,19.0,Keflavík,ÍR,ÍR,65.0,1.0,7.0,12.0,1.0,8.0,8.0,20.0,2.0,2.0
5,Florijan Jovanov,5.95,,,,,,,,1.0,,,0.0,4.0,,Keflavík,ÍR,ÍR,65.0,,,,0.0,1.0,0.0,1.0,,
8,Trausti Eiríksson,10.066666666666666,,4.0,4.0,,,1.0,,,,,5.0,10.0,2.0,Keflavík,ÍR,ÍR,65.0,,1.0,1.0,0.0,1.0,1.0,2.0,,
10,Sveinbjörn Claessen,0.0,,,,,,,,,,,,,,Keflavík,ÍR,ÍR,65.0,,,,,,,,,
12,Danil Kirjanovski,2.3666666666666667,1.0,,1.0,,,,,1.0,,,3.0,8.0,2.0,Keflavík,ÍR,ÍR,65.0,,1.0,2.0,,,1.0,2.0,,
13,Frank Gerritsen,1.6833333333333333,,,,,,,,,1.0,,1.0,4.0,,Keflavík,ÍR,ÍR,65.0,,,,,,,,,
14,Sæþór Elmar Kristjánsson,22.65,,2.0,2.0,1.0,2.0,,1.0,2.0,1.0,,3.0,-26.0,,Keflavík,ÍR,ÍR,65.0,1.0,,,0.0,2.0,0.0,2.0,,
15,Arnór Hermannsson,19.716666666666665,1.0,1.0,2.0,,2.0,2.0,1.0,,,,7.0,-13.0,6.0,Keflavík,ÍR,ÍR,65.0,,2.0,2.0,,,2.0,2.0,2.0,2.0
24,Georgi Boyanov,33.9,2.0,8.0,10.0,1.0,1.0,4.0,1.0,4.0,,,19.0,-25.0,14.0,Keflavík,ÍR,ÍR,65.0,1.0,4.0,10.0,1.0,3.0,5.0,13.0,3.0,4.0
33,Danero Thomas,34.05,,5.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,,10.0,-27.0,12.0,Keflavík,ÍR,ÍR,65.0,1.0,2.0,7.0,2.0,8.0,4.0,15.0,2.0,2.0
4,Ástþór Atli Svalason,28.8,3.0,1.0,4.0,3.0,,4.0,4.0,,1.0,1.0,11.0,-25.0,14.0,Valur,Haukar,Valur,66.0,1.0,6.0,10.0,0.0,3.0,6.0,13.0,2.0,2.0
5,Ragnar Agust Nathanaelsson,18.35,7.0,5.0,12.0,1.0,5.0,5.0,2.0,,1.0,,16.0,-1.0,12.0,Valur,Haukar,Valur,66.0,,4.0,7.0,,,4.0,7.0,4.0,9.0
6,Benedikt Blöndal,11.55,,1.0,1.0,,2.0,2.0,1.0,2.0,,,1.0,7.0,2.0,Valur,Haukar,Valur,66.0,,0.0,1.0,0.0,2.0,0.0,3.0,2.0,2.0
7,Pálmi Þórsson,0.0,,,,,,,,,,,,,,Valur,Haukar,Valur,66.0,,,,,,,,,
8,Bergur Ástráðsson,0.0,,,,,,,,,,,,,,Valur,Haukar,Valur,66.0,,,,,,,,,
9,Philip B. Alawoya,31.966666666666665,3.0,6.0,9.0,1.0,4.0,3.0,2.0,,1.0,,3.0,-6.0,10.0,Valur,Haukar,Valur,66.0,1.0,0.0,11.0,3.0,5.0,3.0,16.0,1.0,4.0
10,Austin Magnus Bracey,37.5,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,,,22.0,-17.0,24.0,Valur,Haukar,Valur,66.0,1.0,2.0,4.0,6.0,11.0,8.0,15.0,2.0,2.0
11,Snjólfur Björnsson,1.6166666666666667,,,,1.0,,1.0,,,,,-1.0,2.0,,Valur,Haukar,Valur,66.0,,,,,,,,0.0,2.0
12,Illugi Steingrímsson,31.75,3.0,5.0,8.0,1.0,2.0,3.0,,1.0,,,4.0,-14.0,5.0,Valur,Haukar,Valur,66.0,1.0,1.0,5.0,0.0,5.0,1.0,10.0,3.0,5.0
13,Sigurður Páll Stefánsson,0.0,,,,,,,,,,,,,,Valur,Haukar,Valur,66.0,,,,,,,,,
14,Illugi Auðunsson,5.716666666666667,1.0,3.0,4.0,,1.0,1.0,,,,,6.0,-1.0,3.0,Valur,Haukar,Valur,66.0,,1.0,1.0,,,1.0,1.0,1.0,2.0
15,Pavel Ermolinskij,32.75,,3.0,3.0,6.0,5.0,5.0,2.0,1.0,1.0,1.0,10.0,-25.0,8.0,Valur,Haukar,Valur,66.0,1.0,0.0,3.0,2.0,6.0,2.0,9.0,2.0,2.0
3,Kjartan Helgi Steinþórsson,9.316666666666666,1.0,1.0,2.0,,3.0,2.0,,,,,0.0,-12.0,,Valur,Haukar,Haukar,66.0,,0.0,2.0,,,0.0,2.0,,
7,Aron Ás Kjartansson,1.4833333333333334,,,,,,,,,,,2.0,-2.0,2.0,Valur,Haukar,Haukar,66.0,,1.0,1.0,,,1.0,1.0,,
9,Haukur Óskarsson,19.683333333333334,,3.0,3.0,,2.0,,1.0,,1.0,1.0,6.0,,5.0,Valur,Haukar,Haukar,66.0,,1.0,1.0,1.0,3.0,2.0,4.0,,
10,Ívar Barja,1.4833333333333334,,,,,1.0,,1.0,,,,-1.0,-2.0,,Valur,Haukar,Haukar,66.0,,,,,,,,,
12,Kári Jónsson,30.983333333333334,,1.0,1.0,5.0,3.0,6.0,2.0,2.0,,1.0,16.0,22.0,21.0,Valur,Haukar,Haukar,66.0,1.0,5.0,10.0,2.0,7.0,7.0,17.0,5.0,6.0
13,Breki Gylfason,20.366666666666667,,4.0,4.0,2.0,3.0,,1.0,2.0,1.0,,10.0,3.0,4.0,Valur,Haukar,Haukar,66.0,,2.0,2.0,0.0,2.0,2.0,4.0,,
14,Emil Barja,32.88333333333333,1.0,6.0,7.0,6.0,3.0,2.0,3.0,2.0,,,18.0,25.0,10.0,Valur,Haukar,Haukar,66.0,1.0,2.0,4.0,2.0,4.0,4.0,8.0,,
15,Gerald Robinson,28.483333333333334,10.0,7.0,17.0,1.0,3.0,4.0,,,,,29.0,15.0,24.0,Valur,Haukar,Haukar,66.0,1.0,9.0,14.0,1.0,6.0,10.0,20.0,3.0,6.0
20,Yngvi Freyr Óskarsson,9.716666666666667,1.0,,1.0,1.0,1.0,1.0,1.0,,,,7.0,-3.0,6.0,Valur,Haukar,Haukar,66.0,,2.0,2.0,,,2.0,2.0,2.0,2.0
21,Gunnar Ingi Harðarson,22.933333333333334,,3.0,3.0,1.0,3.0,,,1.0,,1.0,10.0,17.0,8.0,Valur,Haukar,Haukar,66.0,1.0,1.0,3.0,2.0,3.0,3.0,6.0,,
24,Flenard Whitfield,21.033333333333335,2.0,2.0,4.0,2.0,4.0,5.0,3.0,,,1.0,10.0,18.0,14.0,Valur,Haukar,Haukar,66.0,1.0,4.0,10.0,1.0,2.0,5.0,12.0,3.0,3.0
34,Ágúst Goði Kjartansson,1.6333333333333333,,,,,,,,,,,0.0,-1.0,,Valur,Haukar,Haukar,66.0,,,,,,,,,
0,Tristan Rafn Ottósson,0.0,,,,,,,,,,,,,,Þór Þorlákshöfn,Keflavík,Þór Þorlákshöfn,67.0,,,,,,,,,
1,Ísak Júlíus Perdue,0.0,,,,,,,,,,,,,,Þór Þorlákshöfn,Keflavík,Þór Þorlákshöfn,67.0,,,,,,,,,
3,Benjamín Þorri Benjamínsson,0.0,,,,,,,,,,,,,,Þór Þorlákshöfn,Keflavík,Þór Þorlákshöfn,67.0,,,,,,,,,
4,Jón Jökull Þráinsson,0.0,,,,,,,,,,,,,,Þór Þorlákshöfn,Keflavík,Þór Þorlákshöfn,67.0,,,,,,,,,
7,Emil Karel Einarsson,22.633333333333333,,3.0,3.0,2.0,4.0,,,1.0,,,5.0,-4.0,5.0,Þór Þorlákshöfn,Keflavík,Þór Þorlákshöfn,67.0,1.0,1.0,2.0,1.0,5.0,2.0,7.0,0.0,1.0
9,Halldór Garðar Hermannsson,35.7,,3.0,3.0,5.0,2.0,11.0,3.0,2.0,,,33.0,10.0,34.0,Þór Þorlákshöfn,Keflavík,Þór Þorlákshöfn,67.0,1.0,8.0,11.0,3.0,5.0,11.0,16.0,9.0,12.0
13,Davíð Arnar Ágústsson,11.7,,1.0,1.0,,1.0,,,1.0,,,1.0,6.0,,Þór Þorlákshöfn,Keflavík,Þór Þorlákshöfn,67.0,,,,0.0,1.0,0.0,1.0,,
20,Dino Butorac,33.65,,3.0,3.0,4.0,3.0,2.0,2.0,1.0,,,11.0,10.0,12.0,Þór Þorlákshöfn,Keflavík,Þór Þorlákshöfn,67.0,1.0,0.0,3.0,3.0,6.0,3.0,9.0,3.0,4.0
22,Vincent Terrence Bailey,35.45,4.0,5.0,9.0,4.0,3.0,8.0,2.0,,1.0,2.0,21.0,4.0,20.0,Þór Þorlákshöfn,Keflavík,Þór Þorlákshöfn,67.0,1.0,9.0,17.0,,,9.0,17.0,2.0,5.0
24,Marko Bakovic,28.033333333333335,1.0,6.0,7.0,4.0,4.0,1.0,3.0,,2.0,,17.0,4.0,10.0,Þór Þorlákshöfn,Keflavík,Þór Þorlákshöfn,67.0,1.0,3.0,5.0,1.0,1.0,4.0,6.0,1.0,2.0
25,Ragnar Örn Bragason,27.4,,1.0,1.0,,4.0,3.0,1.0,1.0,,,4.0,6.0,8.0,Þór Þorlákshöfn,Keflavík,Þór Þorlákshöfn,67.0,,,,2.0,6.0,2.0,6.0,2.0,3.0
34,Styrmir Snær Þrastarson,5.433333333333334,,1.0,1.0,1.0,1.0,,,,,,1.0,4.0,,Þór Þorlákshöfn,Keflavík,Þór Þorlákshöfn,67.0,,0.0,1.0,,,0.0,1.0,,
4,Khalil Ullah Ahmad,33.25,1.0,2.0,3.0,3.0,1.0,4.0,,3.0,,2.0,23.0,-6.0,25.0,Þór Þorlákshöfn,Keflavík,Keflavík,67.0,1.0,5.0,11.0,3.0,8.0,8.0,19.0,6.0,6.0
5,Magnús Már Traustason,12.683333333333334,,,,,1.0,2.0,1.0,,,,-2.0,-4.0,3.0,Þór Þorlákshöfn,Keflavík,Keflavík,67.0,,1.0,2.0,0.0,2.0,1.0,4.0,1.0,2.0
6,Sigurður Hólm Brynjarsson,0.0,,,,,,,,,,,,,,Þór Þorlákshöfn,Keflavík,Keflavík,67.0,,,,,,,,,
7,Ágúst Orrason,10.0,,,,1.0,1.0,,1.0,,,,-1.0,-12.0,,Þór Þorlákshöfn,Keflavík,Keflavík,67.0,,,,0.0,1.0,0.0,1.0,,
8,Guðmundur Jónsson,11.1,,3.0,3.0,1.0,5.0,,,,,1.0,1.0,,,Þór Þorlákshöfn,Keflavík,Keflavík,67.0,,0.0,1.0,0.0,2.0,0.0,3.0,,
9,Dominykas Milka,36.13333333333333,8.0,6.0,14.0,3.0,5.0,8.0,6.0,2.0,,,34.0,-1.0,24.0,Þór Þorlákshöfn,Keflavík,Keflavík,67.0,1.0,10.0,11.0,0.0,1.0,10.0,12.0,4.0,5.0
10,Davíð Alexander H. Magnússon,0.0,,,,,,,,,,,,,,Þór Þorlákshöfn,Keflavík,Keflavík,67.0,,,,,,,,,
11,Deane Williams,35.46666666666667,2.0,9.0,11.0,,5.0,4.0,5.0,,2.0,,19.0,-14.0,18.0,Þór Þorlákshöfn,Keflavík,Keflavík,67.0,1.0,6.0,9.0,1.0,3.0,7.0,12.0,3.0,5.0
12,Reggie Dupree,23.85,1.0,2.0,3.0,,4.0,,1.0,,,,0.0,-4.0,5.0,Þór Þorlákshöfn,Keflavík,Keflavík,67.0,1.0,1.0,2.0,1.0,7.0,2.0,9.0,,
13,Hörður Axel Vilhjálmsson,33.55,2.0,3.0,5.0,9.0,3.0,4.0,4.0,2.0,,,10.0,2.0,6.0,Þór Þorlákshöfn,Keflavík,Keflavík,67.0,1.0,2.0,3.0,0.0,4.0,2.0,7.0,2.0,5.0
14,Andrés Ísak Hlynsson,0.6666666666666666,,,,,,,,,,,0.0,2.0,,Þór Þorlákshöfn,Keflavík,Keflavík,67.0,,,,,,,,,
15,Veigar Áki Hlynsson,3.3,,,,,1.0,,,,,,0.0,-3.0,,Þór Þorlákshöfn,Keflavík,Keflavík,67.0,,,,,,,,,
0,Ingvi Þór Guðmundsson,27.55,1.0,3.0,4.0,7.0,2.0,6.0,5.0,4.0,,1.0,22.0,9.0,21.0,Grindavík,Þór Akureyri,Grindavík,68.0,1.0,4.0,5.0,2.0,9.0,6.0,14.0,7.0,8.0
1,Jamal K Olasawere,28.683333333333334,1.0,3.0,4.0,5.0,3.0,6.0,2.0,,,,19.0,13.0,20.0,Grindavík,Þór Akureyri,Grindavík,68.0,1.0,4.0,9.0,1.0,2.0,5.0,11.0,9.0,11.0
2,Bragi Guðmundsson,2.1,1.0,,1.0,,,,1.0,,,,1.0,-8.0,2.0,Grindavík,Þór Akureyri,Grindavík,68.0,,1.0,2.0,,,1.0,2.0,,
6,Sigtryggur Arnar Björnsson,31.983333333333334,,4.0,4.0,6.0,1.0,3.0,4.0,1.0,,,21.0,-6.0,21.0,Grindavík,Þór Akureyri,Grindavík,68.0,1.0,1.0,2.0,5.0,9.0,6.0,11.0,4.0,6.0
7,Björgvin Hafþór Ríkharðsson,19.766666666666666,1.0,3.0,4.0,3.0,1.0,,,1.0,1.0,,7.0,13.0,2.0,Grindavík,Þór Akureyri,Grindavík,68.0,,1.0,2.0,0.0,3.0,1.0,5.0,,
8,Kristófer Breki Gylfason,31.7,,2.0,2.0,3.0,2.0,1.0,,1.0,,,18.0,16.0,13.0,Grindavík,Þór Akureyri,Grindavík,68.0,1.0,3.0,3.0,2.0,2.0,5.0,5.0,1.0,2.0
9,Magnús Engill Valgeirsson,30.7,,,,,,,,,,,-1.0,-8.0,,Grindavík,Þór Akureyri,Grindavík,68.0,,,,0.0,1.0,0.0,1.0,,
10,Jens Valgeir Óskarsson,0.0,,,,,,,,,,,,,,Grindavík,Þór Akureyri,Grindavík,68.0,,,,,,,,,
12,Sverrir Týr Sigurðsson,2.1,,,,,,,1.0,,,,-1.0,-8.0,,Grindavík,Þór Akureyri,Grindavík,68.0,,,,,,,,,
13,Davíð Páll Hermannsson,0.0,,,,,,,,,,,,,,Grindavík,Þór Akureyri,Grindavík,68.0,,,,,,,,,
14,Ólafur Ólafsson,27.25,3.0,5.0,8.0,4.0,5.0,2.0,3.0,1.0,1.0,,14.0,8.0,8.0,Grindavík,Þór Akureyri,Grindavík,68.0,,4.0,5.0,0.0,4.0,4.0,9.0,,
42,Valdas Vasylius,25.866666666666667,3.0,7.0,10.0,2.0,,5.0,4.0,,1.0,,18.0,1.0,13.0,Grindavík,Þór Akureyri,Grindavík,68.0,1.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,6.0
1,Erlendur Ágúst Stefánsson,9.183333333333334,,,,1.0,2.0,,,,,1.0,-1.0,-16.0,,Grindavík,Þór Akureyri,Þór Akureyri,68.0,,0.0,2.0,,,0.0,2.0,,
2,Jamal Marcel Palmer,19.95,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,1.0,9.0,-1.0,18.0,Grindavík,Þór Akureyri,Þór Akureyri,68.0,,5.0,14.0,2.0,5.0,7.0,19.0,2.0,3.0
4,Hansel Giovanny Atencia Suarez,29.033333333333335,1.0,1.0,2.0,10.0,,3.0,5.0,3.0,,,20.0,-8.0,17.0,Grindavík,Þór Akureyri,Þór Akureyri,68.0,1.0,2.0,6.0,3.0,6.0,5.0,12.0,4.0,4.0
8,Júlíus Orri Ágústsson,26.683333333333334,,3.0,3.0,7.0,3.0,4.0,1.0,1.0,,,19.0,-6.0,11.0,Grindavík,Þór Akureyri,Þór Akureyri,68.0,1.0,3.0,4.0,1.0,2.0,4.0,6.0,2.0,2.0
12,Sigurður Traustason,0.0,,,,,,,,,,,,,,Grindavík,Þór Akureyri,Þór Akureyri,68.0,,,,,,,,,
15,Pablo Hernandez Montenegro,33.18333333333333,1.0,9.0,10.0,2.0,4.0,1.0,,2.0,1.0,,22.0,-8.0,13.0,Grindavík,Þór Akureyri,Þór Akureyri,68.0,1.0,4.0,8.0,1.0,3.0,5.0,11.0,2.0,2.0
18,Smári Jónsson,2.1,,,,,,,,,,,-1.0,8.0,,Grindavík,Þór Akureyri,Þór Akureyri,68.0,,,,0.0,1.0,0.0,1.0,,
25,Baldur Örn Jóhannesson,18.266666666666666,4.0,1.0,5.0,1.0,2.0,,2.0,,,1.0,4.0,-9.0,4.0,Grindavík,Þór Akureyri,Þór Akureyri,68.0,,2.0,5.0,0.0,1.0,2.0,6.0,,
33,Terrence Christopher Motley,20.05,1.0,1.0,2.0,,5.0,2.0,2.0,1.0,,,9.0,-5.0,13.0,Grindavík,Þór Akureyri,Þór Akureyri,68.0,1.0,4.0,9.0,1.0,1.0,5.0,10.0,2.0,2.0
